qid,ground_truth
GABOR-0503,B
GABOR-0504,A
GABOR-0505,A
GABOR-0506,A
GABOR-0507,B
GABOR-0508,B
GABOR-0509,B
GABOR-0510,B
GABOR-0511,A
GABOR-0512,A
GABOR-0513,A
GABOR-0514,A
GABOR-0515,A
GABOR-0516,B
GABOR-0517,B
GABOR-0518,A
GABOR-0519,A
GABOR-0520,B
GABOR-0521,A
GABOR-0522,A
GABOR-0523,A
GABOR-0524,A
GABOR-0525,B
GABOR-0526,A
GABOR-0527,B
GABOR-0528,A
GABOR-0529,B
GABOR-0530,A
GABOR-0531,A
GABOR-0532,B
GABOR-0533,A
GABOR-0534,B
GABOR-0535,B
GABOR-0536,A
GABOR-0537,B
GABOR-0538,B
GABOR-0539,A
GABOR-0540,B
GABOR-0541,A
GABOR-0542,B
GABOR-0543,A
GABOR-0544,A
GABOR-0545,B
GABOR-0546,A
GABOR-0547,B
GABOR-0548,B
GABOR-0549,B
GABOR-0550,A
GABOR-0551,A
GABOR-0552,A
GABOR-0553,B
GABOR-0554,A
GABOR-0555,B
GABOR-0556,B
GABOR-0557,A
GABOR-0558,B
GABOR-0559,A
GABOR-0560,B
GABOR-0561,B
GABOR-0562,B
GABOR-0563,B
GABOR-0564,A
GABOR-0565,A
GABOR-0566,A
GABOR-0567,B
GABOR-0568,B
GABOR-0569,B
GABOR-0570,A
GABOR-0571,B
GABOR-0572,A
GABOR-0573,B
GABOR-0574,B
GABOR-0575,A
GABOR-0576,A
GABOR-0577,B
GABOR-0578,B
GABOR-0579,A
GABOR-0580,B
GABOR-0581,A
GABOR-0582,A
GABOR-0583,A
GABOR-0584,B
GABOR-0585,B
GABOR-0586,A
GABOR-0587,B
GABOR-0588,A
GABOR-0589,A
GABOR-0590,B
GABOR-0591,B
GABOR-0592,B
GABOR-0593,B
GABOR-0594,B
GABOR-0595,B
GABOR-0596,B
GABOR-0597,B
GABOR-0598,A
GABOR-0599,A
GABOR-0600,B
GABOR-0601,B
GABOR-0602,A
GABOR-0603,A
GABOR-0604,B
GABOR-0605,A
GABOR-0606,B
GABOR-0607,B
GABOR-0608,A
GABOR-0609,A
GABOR-0610,A
GABOR-0611,A
GABOR-0612,B
GABOR-0613,B
GABOR-0614,A
GABOR-0615,A
GABOR-0616,A
GABOR-0617,A
GABOR-0618,A
GABOR-0619,B
GABOR-0620,A
GABOR-0621,B
GABOR-0622,A
GABOR-0623,B
GABOR-0624,A
GABOR-0625,B
GABOR-0626,B
GABOR-0627,B
GABOR-0628,B
GABOR-0629,A
GABOR-0630,A
GABOR-0631,A
GABOR-0632,A
GABOR-0633,A
GABOR-0634,A
GABOR-0635,B
GABOR-0636,B
GABOR-0637,A
GABOR-0638,B
GABOR-0639,B
GABOR-0640,A
GABOR-0641,A
GABOR-0642,B
GABOR-0643,A
GABOR-0644,B
GABOR-0645,B
GABOR-0646,B
GABOR-0647,A
GABOR-0648,B
GABOR-0649,A
GABOR-0650,B
GABOR-0651,A
GABOR-0652,B
GABOR-0653,A
GABOR-0654,B
GABOR-0655,B
GABOR-0656,B
GABOR-0657,A
GABOR-0658,B
GABOR-0659,B
GABOR-0660,A
GABOR-0661,A
GABOR-0662,B
GABOR-0663,B
GABOR-0664,A
GABOR-0665,A
GABOR-0666,B
GABOR-0667,A
GABOR-0668,A
GABOR-0669,B
GABOR-0670,B
GABOR-0671,A
GABOR-0672,B
GABOR-0673,B
GABOR-0674,A
GABOR-0675,B
GABOR-0676,B
GABOR-0677,B
GABOR-0678,B
GABOR-0679,A
GABOR-0680,A
GABOR-0681,A
GABOR-0682,B
GABOR-0683,A
GABOR-0684,A
GABOR-0685,A
GABOR-0686,B
GABOR-0687,B
GABOR-0688,A
GABOR-0689,B
GABOR-0690,A
GABOR-0691,B
GABOR-0692,B
GABOR-0693,B
GABOR-0694,B
GABOR-0695,A
GABOR-0696,B
GABOR-0697,A
GABOR-0698,A
GABOR-0699,A
GABOR-0700,A
GABOR-0701,A
GABOR-0702,B
GABOR-0703,B
GABOR-0704,A
GABOR-0705,A
GABOR-0706,A
GABOR-0707,A
GABOR-0708,B
GABOR-0709,A
GABOR-0710,B
GABOR-0711,B
GABOR-0712,B
GABOR-0713,B
GABOR-0714,A
GABOR-0715,A
GABOR-0716,B
GABOR-0717,A
GABOR-0718,B
GABOR-0719,B
GABOR-0720,A
GABOR-0721,B
GABOR-0722,A
GABOR-0723,B
GABOR-0724,A
GABOR-0725,B
GABOR-0726,B
GABOR-0727,B
GABOR-0728,A
GABOR-0729,A
GABOR-0730,A
GABOR-0731,B
GABOR-0732,A
GABOR-0733,B
GABOR-0734,B
GABOR-0735,A
GABOR-0736,A
GABOR-0737,B
GABOR-0738,B
GABOR-0739,A
GABOR-0740,B
GABOR-0741,A
GABOR-0742,B
GABOR-0743,B
GABOR-0744,A
GABOR-0745,B
GABOR-0746,A
GABOR-0747,B
GABOR-0748,B
GABOR-0749,A
GABOR-0750,A
GABOR-0751,B
GABOR-0752,B
GABOR-0753,B
GABOR-0754,B
GABOR-0755,B
GABOR-0756,A
GABOR-0757,A
GABOR-0758,B
GABOR-0759,B
GABOR-0760,A
GABOR-0761,A
GABOR-0762,B
GABOR-0763,B
GABOR-0764,B
GABOR-0765,B
GABOR-0766,B
GABOR-0767,B
GABOR-0768,A
GABOR-0769,B
GABOR-0770,B
GABOR-0771,A
GABOR-0772,B
GABOR-0773,B
GABOR-0774,B
GABOR-0775,B
GABOR-0776,A
GABOR-0777,B
GABOR-0778,A
GABOR-0779,A
GABOR-0780,B
GABOR-0781,B
GABOR-0782,A
GABOR-0783,A
GABOR-0784,B
GABOR-0785,B
GABOR-0786,B
GABOR-0787,A
GABOR-0788,A
GABOR-0789,B
GABOR-0790,A
GABOR-0791,A
GABOR-0792,A
GABOR-0793,B
GABOR-0794,B
GABOR-0795,B
GABOR-0796,A
GABOR-0797,B
GABOR-0798,A
GABOR-0799,B
GABOR-0800,B
GABOR-0801,A
GABOR-0802,A
GABOR-0803,A
GABOR-0804,B
GABOR-0805,A
GABOR-0806,B
GABOR-0807,B
GABOR-0808,B
GABOR-0809,B
GABOR-0810,B
GABOR-0811,A
GABOR-0812,B
GABOR-0813,A
GABOR-0814,B
GABOR-0815,A
GABOR-0816,B
GABOR-0817,A
GABOR-0818,B
GABOR-0819,A
GABOR-0820,B
GABOR-0821,B
GABOR-0822,B
GABOR-0823,B
GABOR-0824,B
GABOR-0825,B
GABOR-0826,B
GABOR-0827,A
GABOR-0828,A
GABOR-0829,B
GABOR-0830,A
GABOR-0831,B
GABOR-0832,A
GABOR-0833,A
GABOR-0834,A
GABOR-0835,A
GABOR-0836,A
GABOR-0837,B
GABOR-0838,B
GABOR-0839,B
GABOR-0840,A
GABOR-0841,B
GABOR-0842,B
GABOR-0843,B
GABOR-0844,A
GABOR-0845,B
GABOR-0846,A
GABOR-0847,B
GABOR-0848,A
GABOR-0849,B
GABOR-0850,A
GABOR-0851,A
GABOR-0852,A
GABOR-0853,A
GABOR-0854,A
GABOR-0855,A
GABOR-0856,B
GABOR-0857,A
GABOR-0858,B
GABOR-0859,A
GABOR-0860,A
GABOR-0861,A
GABOR-0862,A
GABOR-0863,A
GABOR-0864,B
GABOR-0865,B
GABOR-0866,A
GABOR-0867,A
GABOR-0868,B
GABOR-0869,B
GABOR-0870,A
GABOR-0871,A
GABOR-0872,A
GABOR-0873,A
GABOR-0874,A
GABOR-0875,A
GABOR-0876,B
GABOR-0877,A
GABOR-0878,B
GABOR-0879,B
GABOR-0880,A
GABOR-0881,A
GABOR-0882,B
GABOR-0883,A
GABOR-0884,B
GABOR-0885,B
GABOR-0886,A
GABOR-0887,B
GABOR-0888,A
GABOR-0889,A
GABOR-0890,A
GABOR-0891,B
GABOR-0892,A
GABOR-0893,A
GABOR-0894,B
GABOR-0895,B
GABOR-0896,B
GRID-0001,A
GRID-0002,A
GRID-0003,B
GRID-0004,B
GRID-0005,A
GRID-0006,A
GRID-0007,B
GRID-0008,B
GRID-0009,A
GRID-0010,A
GRID-0011,B
GRID-0012,A
GRID-0013,A
GRID-0014,B
GRID-0015,A
GRID-0016,A
GRID-0017,B
GRID-0018,A
GRID-0019,B
GRID-0020,A
GRID-0021,A
GRID-0022,A
GRID-0023,B
GRID-0024,B
GRID-0025,A
GRID-0026,A
GRID-0027,A
GRID-0028,B
GRID-0029,A
GRID-0030,B
GRID-0031,A
GRID-0032,B
GRID-0033,A
GRID-0034,A
GRID-0035,B
GRID-0036,B
GRID-0037,A
GRID-0038,B
GRID-0039,B
GRID-0040,A
GRID-0041,B
GRID-0042,B
GRID-0043,A
GRID-0044,B
GRID-0045,B
GRID-0046,A
GRID-0047,B
GRID-0048,B
GRID-0049,B
GRID-0050,A
GRID-0051,A
GRID-0052,A
GRID-0053,B
GRID-0054,A
GRID-0055,A
GRID-0056,B
GRID-0057,B
GRID-0058,B
GRID-0059,B
GRID-0060,A
GRID-0061,B
GRID-0062,A
GRID-0063,A
GRID-0064,A
GRID-0065,A
GRID-0066,B
GRID-0067,B
GRID-0068,B
GRID-0069,B
GRID-0070,A
GRID-0071,A
GRID-0072,A
GRID-0073,B
GRID-0074,A
GRID-0075,A
GRID-0076,A
GRID-0077,B
GRID-0078,B
GRID-0079,A
GRID-0080,A
GRID-0081,B
GRID-0082,A
GRID-0083,A
GRID-0084,B
GRID-0085,B
GRID-0086,A
GRID-0087,A
GRID-0088,B
GRID-0089,B
GRID-0090,A
GRID-0091,B
GRID-0092,B
GRID-0093,A
GRID-0094,A
GRID-0095,B
GRID-0096,A
GRID-0097,A
GRID-0098,B
GRID-0099,A
GRID-0100,A
GRID-0101,A
GRID-0102,A
GRID-0103,B
GRID-0104,B
GRID-0105,A
GRID-0106,B
GRID-0107,B
GRID-0108,A
GRID-0109,B
GRID-0110,B
GRID-0111,B
GRID-0112,B
GRID-0113,A
GRID-0114,A
GRID-0115,B
GRID-0116,A
GRID-0117,B
GRID-0118,A
GRID-0119,A
GRID-0120,A
GRID-0121,B
GRID-0122,A
GRID-0123,A
GRID-0124,B
GRID-0125,A
GRID-0126,A
GRID-0127,B
GRID-0128,A
GRID-0129,A
GRID-0130,B
GRID-0131,B
GRID-0132,A
GRID-0133,A
GRID-0134,B
GRID-0135,B
GRID-0136,B
GRID-0137,A
GRID-0138,B
GRID-0139,A
GRID-0140,B
GRID-0141,B
GRID-0142,A
GRID-0143,B
GRID-0144,A
GRID-0145,A
GRID-0146,B
GRID-0147,B
GRID-0148,A
GRID-0149,B
GRID-0150,A
GRID-0151,A
GRID-0152,B
GRID-0153,B
GRID-0154,A
GRID-0155,A
GRID-0156,B
GRID-0157,A
GRID-0158,A
GRID-0159,A
GRID-0160,A
GRID-0161,B
GRID-0162,B
GRID-0163,A
GRID-0164,B
GRID-0165,A
GRID-0166,B
GRID-0167,A
GRID-0168,B
GRID-0169,B
GRID-0170,A
GRID-0171,A
GRID-0172,B
GRID-0173,A
GRID-0174,A
GRID-0175,B
GRID-0176,A
GRID-0177,A
GRID-0178,B
GRID-0179,A
GRID-0180,A
GRID-0181,A
GRID-0182,B
GRID-0183,A
GRID-0184,B
GRID-0185,A
GRID-0186,A
GRID-0187,B
GRID-0188,B
GRID-0189,A
GRID-0190,B
GRID-0191,A
GRID-0192,B
GRID-0193,B
GRID-0194,A
GRID-0195,A
GRID-0196,A
GRID-0197,A
GRID-0198,A
GRID-0199,B
GRID-0200,A
GRID-0201,A
GRID-0202,A
GRID-0203,B
GRID-0204,B
GRID-0205,B
GRID-0206,B
GRID-0207,A
GRID-0208,A
GRID-0209,A
GRID-0210,A
GRID-0211,B
GRID-0212,A
GRID-0213,B
GRID-0214,B
GRID-0215,B
GRID-0216,B
GRID-0217,B
GRID-0218,A
GRID-0219,A
GRID-0220,A
GRID-0221,B
GRID-0222,A
GRID-0223,B
GRID-0224,A
GRID-0225,B
GRID-0226,A
GRID-0227,A
GRID-0228,A
GRID-0229,B
GRID-0230,B
GRID-0231,A
GRID-0232,B
GRID-0233,B
GRID-0234,A
GRID-0235,B
GRID-0236,A
GRID-0237,A
GRID-0238,B
GRID-0239,B
GRID-0240,B
GRID-0241,B
GRID-0242,A
GRID-0243,B
GRID-0244,A
GRID-0245,A
GRID-0246,A
GRID-0247,B
GRID-0248,B
GRID-0249,A
GRID-0250,B
GRID-0251,B
GRID-0252,B
GRID-0253,A
GRID-0254,B
GRID-0255,A
GRID-0256,A
GRID-0257,B
GRID-0258,A
GRID-0259,B
GRID-0260,B
GRID-0261,B
GRID-0262,A
GRID-0263,A
GRID-0264,B
GRID-0265,A
GRID-0266,A
GRID-0267,A
GRID-0268,A
GRID-0269,A
GRID-0270,A
GRID-0271,B
GRID-0272,B
GRID-0273,A
GRID-0274,A
GRID-0275,A
GRID-0276,B
GRID-0277,A
GRID-0278,B
GRID-0279,B
GRID-0280,B
GRID-0281,B
GRID-0282,A
GRID-0283,A
GRID-0284,A
GRID-0285,B
GRID-0286,A
GRID-0287,B
GRID-0288,A
GRID-0289,A
GRID-0290,A
GRID-0291,A
GRID-0292,A
GRID-0293,B
GRID-0294,B
GRID-0295,B
GRID-0296,A
GRID-0297,B
GRID-0298,A
GRID-0299,A
GRID-0300,B
GRID-0301,A
GRID-0302,A
GRID-0303,A
GRID-0304,B
GRID-0305,A
GRID-0306,B
GRID-0307,B
GRID-0308,A
GRID-0309,A
GRID-0310,B
GRID-0311,B
GRID-0312,B
GRID-0313,B
GRID-0314,B
GRID-0315,B
GRID-0316,B
GRID-0317,B
GRID-0318,B
GRID-0319,A
GRID-0320,A
GRID-0321,B
GRID-0322,A
GRID-0323,B
GRID-0324,B
GRID-0325,A
GRID-0326,B
GRID-0327,B
GRID-0328,B
GRID-0329,B
GRID-0330,B
GRID-0331,A
GRID-0332,B
GRID-0333,A
GRID-0334,A
GRID-0335,A
GRID-0336,A
GRID-0337,B
GRID-0338,B
GRID-0339,A
GRID-0340,A
GRID-0341,B
GRID-0342,A
GRID-0343,B
GRID-0344,B
GRID-0345,B
GRID-0346,A
GRID-0347,B
GRID-0348,A
GRID-0349,B
GRID-0350,B
GRID-0351,B
GRID-0352,A
GRID-0353,A
GRID-0354,B
GRID-0355,A
GRID-0356,A
GRID-0357,B
GRID-0358,A
GRID-0359,B
GRID-0360,B
GRID-0361,B
GRID-0362,B
GRID-0363,A
GRID-0364,B
GRID-0365,A
GRID-0366,B
GRID-0367,A
GRID-0368,A
GRID-0369,B
GRID-0370,B
GRID-0371,B
GRID-0372,B
GRID-0373,A
GRID-0374,A
GRID-0375,A
GRID-0376,B
GRID-0377,A
GRID-0378,A
GRID-0379,A
GRID-0380,B
GRID-0381,B
GRID-0382,A
GRID-0383,A
GRID-0384,B
GRID-0385,A
GRID-0386,B
GRID-0387,B
GRID-0388,B
GRID-0389,B
GRID-0390,A
GRID-0391,B
GRID-0392,A
GRID-0393,A
GRID-0394,A
GRID-0395,B
GRID-0396,B
GRID-0397,A
GRID-0398,A
GRID-0399,A
GRID-0400,B
GRID-0401,B
GRID-0402,A
GRID-0403,B
GRID-0404,A
GRID-0405,A
GRID-0406,B
GRID-0407,A
GRID-0408,A
GRID-0409,B
GRID-0410,A
GRID-0411,A
GRID-0412,B
GRID-0413,A
GRID-0414,A
GRID-0415,B
GRID-0416,B
GRID-0417,B
GRID-0418,B
GRID-0419,B
GRID-0420,B
GRID-0421,B
GRID-0422,A
GRID-0423,B
GRID-0424,B
GRID-0425,A
GRID-0426,B
GRID-0427,A
GRID-0428,B
GRID-0429,B
GRID-0430,A
GRID-0431,A
GRID-0432,B
GRID-0433,A
GRID-0434,B
GRID-0435,B
GRID-0436,A
GRID-0437,A
GRID-0438,B
GRID-0439,B
GRID-0440,B
GRID-0441,B
GRID-0442,B
GRID-0443,B
GRID-0444,A
GRID-0445,B
GRID-0446,B
GRID-0447,B
GRID-0448,B
GRID-0449,B
GRID-0450,B
GRID-0451,B
GRID-0452,A
GRID-0453,A
GRID-0454,A
GRID-0455,A
GRID-0456,A
GRID-0457,A
GRID-0458,B
GRID-0459,B
GRID-0460,B
GRID-0461,B
GRID-0462,B
GRID-0463,B
GRID-0464,A
GRID-0465,A
GRID-0466,B
GRID-0467,B
GRID-0468,B
GRID-0469,A
GRID-0470,B
GRID-0471,A
GRID-0472,A
GRID-0473,A
GRID-0474,B
GRID-0475,A
GRID-0476,B
GRID-0477,B
GRID-0478,A
GRID-0479,A
GRID-0480,B
GRID-0481,A
GRID-0482,A
GRID-0483,B
GRID-0484,B
GRID-0485,A
GRID-0486,A
GRID-0487,B
GRID-0488,A
GRID-0489,A
GRID-0490,A
GRID-0491,B
GRID-0492,B
GRID-0493,A
GRID-0494,B
GRID-0495,A
GRID-0496,B
GRID-0497,B
GRID-0498,B
GRID-0499,A
GRID-0500,B
GRID-0501,A
GRID-0502,A
GRID-0503,A
GRID-0504,B
GRID-0505,B
GRID-0506,A
GRID-0507,A
GRID-0508,A
GRID-0509,B
GRID-0510,B
GRID-0511,B
GRID-0512,B
GRID-0513,B
GRID-0514,A
GRID-0515,A
GRID-0516,A
GRID-0517,B
GRID-0518,A
GRID-0519,B
GRID-0520,B
GRID-0521,B
GRID-0522,A
GRID-0523,B
GRID-0524,A
GRID-0525,B
GRID-0526,B
GRID-0527,B
GRID-0528,B
GRID-0529,B
GRID-0530,B
GRID-0531,B
GRID-0532,B
GRID-0533,A
GRID-0534,A
GRID-0535,B
GRID-0536,A
GRID-0537,A
GRID-0538,B
GRID-0539,A
GRID-0540,B
GRID-0541,A
GRID-0542,A
GRID-0543,A
GRID-0544,A
GRID-0545,A
GRID-0546,B
GRID-0547,B
GRID-0548,B
GRID-0549,B
GRID-0550,B
GRID-0551,B
GRID-0552,A
GRID-0553,B
GRID-0554,B
GRID-0555,A
GRID-0556,A
GRID-0557,A
GRID-0558,A
GRID-0559,A
GRID-0560,B
GRID-0561,B
GRID-0562,B
GRID-0563,B
GRID-0564,A
GRID-0565,B
GRID-0566,B
GRID-0567,B
GRID-0568,B
GRID-0569,B
GRID-0570,B
GRID-0571,B
GRID-0572,A
GRID-0573,B
GRID-0574,B
GRID-0575,A
GRID-0576,A
GRID-0577,A
GRID-0578,A
GRID-0579,A
GRID-0580,A
GRID-0581,A
GRID-0582,A
GRID-0583,B
GRID-0584,B
GRID-0585,B
GRID-0586,B
GRID-0587,B
GRID-0588,B
GRID-0589,B
GRID-0590,A
GRID-0591,A
GRID-0592,B
GRID-0593,B
GRID-0594,A
GRID-0595,B
GRID-0596,B
GRID-0597,B
GRID-0598,A
GRID-0599,A
GRID-0600,B
GRID-0601,A
GRID-0602,A
GRID-0603,A
GRID-0604,B
GRID-0605,B
GRID-0606,A
GRID-0607,B
GRID-0608,A
GRID-0609,A
GRID-0610,A
GRID-0611,A
GRID-0612,B
GRID-0613,A
GRID-0614,A
GRID-0615,A
GRID-0616,A
GRID-0617,A
GRID-0618,A
GRID-0619,A
GRID-0620,B
GRID-0621,B
GRID-0622,A
GRID-0623,A
GRID-0624,A
GRID-0625,A
GRID-0626,B
GRID-0627,A
GRID-0628,A
GRID-0629,B
GRID-0630,B
GRID-0631,B
GRID-0632,A
GRID-0633,A
GRID-0634,A
GRID-0635,B
GRID-0636,A
GRID-0637,B
GRID-0638,A
GRID-0639,B
GRID-0640,A
GRID-0641,A
GRID-0642,B
GRID-0643,A
GRID-0644,B
GRID-0645,B
GRID-0646,B
GRID-0647,A
GRID-0648,B
GRID-0649,B
GRID-0650,B
GRID-0651,A
GRID-0652,B
GRID-0653,B
GRID-0654,B
GRID-0655,B
GRID-0656,B
GRID-0657,B
GRID-0658,A
GRID-0659,B
GRID-0660,A
GRID-0661,A
GRID-0662,A
GRID-0663,A
GRID-0664,A
GRID-0665,B
GRID-0666,B
GRID-0667,A
GRID-0668,A
GRID-0669,A
GRID-0670,B
GRID-0671,B
GRID-0672,B
GRID-0673,A
GRID-0674,B
GRID-0675,A
GRID-0676,B
GRID-0677,B
GRID-0678,B
GRID-0679,B
GRID-0680,A
GRID-0681,A
GRID-0682,A
GRID-0683,A
GRID-0684,A
GRID-0685,B
GRID-0686,A
GRID-0687,A
GRID-0688,A
GRID-0689,A
GRID-0690,A
GRID-0691,A
GRID-0692,B
GRID-0693,B
GRID-0694,A
GRID-0695,B
GRID-0696,A
GRID-0697,A
GRID-0698,B
GRID-0699,B
GRID-0700,A
GRID-0701,B
GRID-0702,A
GRID-0703,B
GRID-0704,B
GRID-0705,B
GRID-0706,A
GRID-0707,B
GRID-0708,A
GRID-0709,B
GRID-0710,A
GRID-0711,A
GRID-0712,A
GRID-0713,A
GRID-0714,B
GRID-0715,A
GRID-0716,A
GRID-0717,A
GRID-0718,A
GRID-0719,A
GRID-0720,A
GRID-0721,B
GRID-0722,A
GRID-0723,A
GRID-0724,B
GRID-0725,B
GRID-0726,A
GRID-0727,A
GRID-0728,A
GRID-0729,A
GRID-0730,A
GRID-0731,A
GRID-0732,B
GRID-0733,A
GRID-0734,B
GRID-0735,A
GRID-0736,A
GRID-0737,B
GRID-0738,B
GRID-0739,A
GRID-0740,A
GRID-0741,B
GRID-0742,B
GRID-0743,A
GRID-0744,A
GRID-0745,B
GRID-0746,A
GRID-0747,B
GRID-0748,A
GRID-0749,B
GRID-0750,A
GRID-0751,B
GRID-0752,A
GRID-0753,A
GRID-0754,B
GRID-0755,B
GRID-0756,A
GRID-0757,A
GRID-0758,A
GRID-0759,B
GRID-0760,A
GRID-0761,A
GRID-0762,A
GRID-0763,A
GRID-0764,A
GRID-0765,A
GRID-0766,B
GRID-0767,B
GRID-0768,A
GRID-0769,A
GRID-0770,A
GRID-0771,A
GRID-0772,A
GRID-0773,A
GRID-0774,A
GRID-0775,B
GRID-0776,B
GRID-0777,A
GRID-0778,B
GRID-0779,A
GRID-0780,B
GRID-0781,B
GRID-0782,A
GRID-0783,A
GRID-0784,B
GRID-0785,A
GRID-0786,A
GRID-0787,B
GRID-0788,B
GRID-0789,A
GRID-0790,A
GRID-0791,B
GRID-0792,A
GRID-0793,A
GRID-0794,B
GRID-0795,B
GRID-0796,B
GRID-0797,A
GRID-0798,B
GRID-0799,A
GRID-0800,A
GRID-0801,B
GRID-0802,B
GRID-0803,A
GRID-0804,B
GRID-0805,B
GRID-0806,B
GRID-0807,A
GRID-0808,B
GRID-0809,A
GRID-0810,B
GRID-0811,A
GRID-0812,B
GRID-0813,A
GRID-0814,A
GRID-0815,B
GRID-0816,A
GRID-0817,B
GRID-0818,B
GRID-0819,B
GRID-0820,B
GRID-0821,B
GRID-0822,A
GRID-0823,A
GRID-0824,A
GRID-0825,A
GRID-0826,A
GRID-0827,A
GRID-0828,B
GRID-0829,B
GRID-0830,A
GRID-0831,B
GRID-0832,B
GRID-0833,A
GRID-0834,A
GRID-0835,A
GRID-0836,A
GRID-0837,A
GRID-0838,B
GRID-0839,B
GRID-0840,B
GRID-0841,A
GRID-0842,B
GRID-0843,A
GRID-0844,A
GRID-0845,B
GRID-0846,A
GRID-0847,A
GRID-0848,A
GRID-0849,B
GRID-0850,B
GRID-0851,B
GRID-0852,A
GRID-0853,B
GRID-0854,A
GRID-0855,A
GRID-0856,B
GRID-0857,B
GRID-0858,B
GRID-0859,A
GRID-0860,A
GRID-0861,B
GRID-0862,B
GRID-0863,B
GRID-0864,A
GRID-0865,B
GRID-0866,A
GRID-0867,B
GRID-0868,B
GRID-0869,A
GRID-0870,A
GRID-0871,B
GRID-0872,A
GRID-0873,B
GRID-0874,A
GRID-0875,A
GRID-0876,A
GRID-0877,A
GRID-0878,B
GRID-0879,B
GRID-0880,B
GRID-0881,B
GRID-0882,A
GRID-0883,A
GRID-0884,A
GRID-0885,A
GRID-0886,A
GRID-0887,B
GRID-0888,A
GRID-0889,B
GRID-0890,A
GRID-0891,A
GRID-0892,B
GRID-0893,A
GRID-0894,B
GRID-0895,A
GRID-0896,B
